mmrrc_id,availability,sds_status,public_display
6935,ES cell line,Complete,Yes
4908,ES cell line,Complete,Yes
52682,ES cell line,QC,Yes
50345,Cryo-archive,QC,Yes
32979,Hidden,N/A,No
57480,ES cell line,QC,Yes
30944,Cryo-archive,Complete,Yes
52378,ES cell line,QC,Yes
31656,Cryo-archive,Complete,Yes
67036,Cryo-archive,Needs Update,Yes
36193,Hidden,N/A,No
2425,ES cell line,Complete,Yes
43093,Cryo-archive,Complete,Yes
59867,ES cell line,QC,Yes
39266,Cryo-archive,Complete,Yes
8028,ES cell line,Complete,Yes
44756,Currently Unavailable,In Progress,No
12136,ES cell line,Complete,Yes
45844,Currently Unavailable,In Progress,No
22580,ES cell line,Complete,Yes
27278,ES cell line,Complete,Yes
71418,iPS Cell Line,In Progress,Yes
58775,ES cell line,QC,Yes
25245,ES cell line,Complete,Yes
47879,Cryo-archive,QC,Yes
40715,Cryo-archive,Complete,Yes
16175,ES cell line,Complete,Yes
9793,ES cell line,Complete,Yes
42728,Cryo-archive,Complete,Yes
14148,ES cell line,Complete,Yes
69478,Currently Unavailable,In Progress,No
21206,ES cell line,Complete,Yes
41807,Cryo-archive,Complete,Yes
8881,ES cell line,Complete,Yes
34907,ES cell line,Complete,Yes
54306,ES cell line,QC,Yes
28924,ES cell line,Complete,Yes
19280,ES cell line,Complete,Yes
37628,Cryo-archive,QC,Yes
61048,ES cell line,QC,Yes
6466,ES cell line,Complete,Yes
48325,Cryo-archive,QC,Yes
35615,ES cell line,Complete,Yes
63075,ES cell line,QC,Yes
3664,ES cell line,Complete,Yes
1659,ES cell line,Complete,Yes
66277,Hybridoma cell line,Complete,Yes
53139,ES cell line,QC,Yes
51104,Cryo-archive,Complete,Yes
18868,ES cell line,Complete,Yes
2976,ES cell line,Complete,Yes
59534,ES cell line,QC,Yes
24004,ES cell line,Complete,Yes
26039,ES cell line,Complete,Yes
70659,Currently Unavailable,In Progress,No
38027,Hidden,In Progress,No
9269,ES cell line,Complete,Yes
45517,Currently Unavailable,In Progress,No
13377,ES cell line,Complete,Yes
396,Cryo-archive,Complete,Yes
69182,Currently Unavailable,In Progress,No
21656,ES cell line,Complete,Yes
26193,ES cell line,Complete,Yes
16525,ES cell line,Complete,Yes
40345,Cryo-archive,Complete,Yes
22979,ES cell line,Complete,Yes
47480,Cryo-archive,QC,Yes
20944,ES cell line,Complete,Yes
69028,Currently Unavailable,In Progress,No
14518,ES cell line,Complete,Yes
42378,Cryo-archive,In Progress,Yes
55844,ES cell line,QC,Yes
32580,Cryo-archive,Complete,Yes
6036,ES cell line,Complete,Yes
61418,ES cell line,QC,Yes
37278,Hidden,N/A,No
63425,ES cell line,QC,Yes
35245,ES cell line,Complete,Yes
48775,Cryo-archive,QC,Yes
57879,ES cell line,QC,Yes
49867,Cryo-archive,QC,Yes
53093,ES cell line,QC,Yes
54756,ES cell line,QC,Yes
29266,ES cell line,Complete,Yes
67935,Currently Unavailable,In Progress,No
56291,ES cell line,QC,Yes
53569,ES cell line,QC,Yes
51554,ES cell line,QC,Yes
36890,Cryo-archive,QC,Yes
65908,ES cell line,QC,Yes
37782,Cryo-archive,Complete,Yes
3234,ES cell line,Complete,Yes
66627,Cryo-archive,Complete,Yes
1209,ES cell line,Complete,Yes
30047,Cryo-archive,Complete,Yes
13727,Hidden,Complete,No
45147,Currently Unavailable,In Progress,No
9639,ES cell line,Complete,Yes
38477,Cryo-archive,Complete,Yes
42682,Cryo-archive,Complete,Yes
43990,Cryo-archive,In Progress,Yes
24454,ES cell line,Complete,Yes
59164,ES cell line,QC,Yes
10808,ES cell line,Complete,Yes
23391,ES cell line,Complete,Yes
70209,Currently Unavailable,In Progress,No
26469,ES cell line,Complete,Yes
5533,ES cell line,Complete,Yes
60120,ES cell line,QC,Yes
36740,Hidden,N/A,No
37852,Cryo-archive,Complete,Yes
50596,Cryo-archive,Complete,Yes
57253,ES cell line,QC,Yes
22353,ES cell line,Complete,Yes
25496,ES cell line,Complete,Yes
42952,Cryo-archive,Complete,Yes
816,ES cell line,Complete,Yes
15020,ES cell line,Complete,Yes
43640,Cryo-archive,Complete,Yes
68510,Currently Unavailable,In Progress,No
44185,Cryo-archive,Complete,Yes
21986,ES cell line,Complete,Yes
10222,Hidden,Complete,No
46442,Cryo-archive,QC,Yes
8301,ES cell line,Complete,Yes
41387,ES cell line,Complete,Yes
70823,Currently Unavailable,In Progress,No
27151,ES cell line,Complete,Yes
20694,ES cell line,Complete,Yes
19900,ES cell line,Complete,Yes
55794,ES cell line,QC,Yes
1823,ES cell line,Complete,Yes
52051,ES cell line,QC,Yes
65322,Cryo-archive,Complete,Yes
33542,missing,Complete,No
54886,ES cell line,QC,Yes
18612,ES cell line,Complete,Yes
57603,ES cell line,QC,Yes
1989,Hidden,N/A,No
5163,ES cell line,Complete,Yes
56911,ES cell line,QC,Yes
65288,Cryo-archive,Complete,Yes
36310,Cryo-archive,Complete,Yes
60570,ES cell line,QC,Yes
10388,ES cell line,Complete,Yes
68140,Cryo-archive,Complete,Yes
